k,n,xi,q0,replication_factor,row_scale,coordinate,coordinate_type,E_S,E_bar_S,posterior_variance,ratio_S_bar_S,ratio_S_bar_S_log_se,ratio_S_bar_S_lower_95,ratio_S_bar_S_upper_95,ratio_S_posterior_variance,ratio_S_posterior_variance_log_se,ratio_S_posterior_variance_lower_95,ratio_S_posterior_variance_upper_95,acceptance_S,acceptance_bar_S_envelope,maximum_log_envelope_error,coordinate_role,path,simulation_seed
16,128,8,8,8,1.3228756555322954,16,prior-scale curvature,0.0042162317177503,0.0173983592785367,1.0012731810493916,0.2423350185066954,0.0161498832218855,0.2347843355400561,0.2501285320400825,0.0042108705172063,0.0138286601535436,0.0040982711993898,0.0043265634825039,0.64219,0.4842403963023403,-1.0966256268765278e-11,j = k,n,8172030
16,256,8,8,16,0.9354143466934852,1,large likelihood curvature,0.0036900180260249,0.0138968304515043,0.1277191369553013,0.2655294701120483,0.0147400867874378,0.2579679269269984,0.2733126568789982,0.0288916611401494,0.0131457447663274,0.0281567567345118,0.0296457468915121,0.6375,0.4797221449336544,-9.487435530228078e-12,j = 1,n,8172030
16,256,8,8,16,0.9354143466934852,16,prior-scale curvature,0.0041663264060434,0.0169235876738057,1.0040711108558928,0.2461845848733372,0.0166403285946952,0.2382847901366022,0.2543462794856235,0.004149433601861,0.0142776961708022,0.0040349243736407,0.0042671925473334,0.6375,0.4797221449336544,-9.487435530228078e-12,j = k,n,8172030
16,512,8,8,32,0.6614378277661477,1,large likelihood curvature,0.0036760811400553,0.0138626192681277,0.1274213426329684,0.2651794057784823,0.0146667397493133,0.2576648707447139,0.2729130946169991,0.0288498069797,0.0129811082414103,0.0281250413374703,0.0295932494028757,0.63801,0.4797313504437515,-4.949423645666136e-12,j = 1,n,8172030
16,512,8,8,32,0.6614378277661477,16,prior-scale curvature,0.0041368529856509,0.0165624942459839,0.9967210331660404,0.2497723425114028,0.0162839701439484,0.2419263380384672,0.2578728037197581,0.004150462213595,0.0139083940117463,0.0040388469892861,0.0042651619712697,0.63801,0.4797313504437515,-4.949423645666136e-12,j = k,n,8172030
16,1024,8,8,64,0.4677071733467426,1,large likelihood curvature,0.0036671475349433,0.0138505358920666,0.1258757289297196,0.2647657508359539,0.014682394078948,0.2572550444249555,0.2724957365653356,0.0291330788399316,0.0130262121140638,0.028398686177465,0.0298864629648664,0.63896,0.4778104812507167,-3.996898981978943e-12,j = 1,n,8172030
16,1024,8,8,64,0.4677071733467426,16,prior-scale curvature,0.0041181817289127,0.0165894951935734,0.997985223651486,0.2482403280425401,0.0164199213820181,0.2403783873390623,0.2563594054724485,0.0041264956948409,0.0139774420237324,0.0040149815831942,0.004241107055339,0.63896,0.4778104812507167,-3.996898981978943e-12,j = k,n,8172030
16,2048,8,8,128,0.3307189138830738,1,large likelihood curvature,0.0036380130482137,0.013680929337952,0.1253423228573459,0.2659185614036884,0.0150682624007691,0.2581798170497243,0.2738892687548394,0.029024618064197,0.0134278714644773,0.0282706945703527,0.0297986472060705,0.63861,0.4744890938681774,-3.2612492595005065e-11,j = 1,n,8172030
16,2048,8,8,128,0.3307189138830738,16,prior-scale curvature,0.0040953745996284,0.0164034028372362,0.9996958172058084,0.2496661601415828,0.0166986643764337,0.2416270166916918,0.2579727729675923,0.0040966207211661,0.0143840942416325,0.0039827382880425,0.0042137595089975,0.63861,0.4744890938681774,-3.2612492595005065e-11,j = k,n,8172030
16,4096,8,8,256,0.2338535866733713,1,large likelihood curvature,0.0036371170595503,0.013477140970292,0.1246032900507714,0.2698730441098538,0.0146969245496472,0.2622099894777463,0.2777600505693177,0.0291895748344076,0.0130882120566159,0.0284503005218669,0.0299480590146529,0.63492,0.4774386371991539,-9.956405567336903e-10,j = 1,n,8172030
16,4096,8,8,256,0.2338535866733713,16,prior-scale curvature,0.0040232881498161,0.0164893945330883,1.001581926051628,0.2439924729645387,0.0161438378553134,0.2363929479582152,0.2518363063600108,0.0040169336578151,0.0135918339553209,0.0039113353809044,0.0041253828782018,0.63492,0.4774386371991539,-9.956405567336903e-10,j = k,n,8172030
